Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
BARKSDALE AIR FORCE BASE ARPT,T-38A,None,1/8/1990,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/9/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1/11/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
NEW ORLEANS INTL,B-737-300,Substantial,1/11/1990,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/12/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/2/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/6/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727,None,2/22/1990,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/1/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/2/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
WASHINGTON DULLES INTL ARPT,BA-146,Medium,3/3/1990,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/8/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
RONALD REAGAN WASHINGTON NATL,C-141B,None,3/9/1990,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
CHARLESTON AFB/INTL ARPT,C-141B,None,3/9/1990,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/9/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,3/13/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/19/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,3/22/1990,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/4/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135
LAGUARDIA NY,B-737-400,Substantial,4/7/1990,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/7/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/9/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/15/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/16/1990,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/18/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/19/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/19/1990,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140
NEW ORLEANS INTL,B-727,None,4/19/1990,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,4/20/1990,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/23/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190
CHARLESTON AFB/INTL ARPT,C-141B,None,4/23/1990,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,None,4/24/1990,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,4/25/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/25/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/26/1990,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
LOS ANGELES INTL,B-737-300,None,4/27/1990,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230
CHICAGO O'HARE INTL ARPT,B-727,None,4/27/1990,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PORTLAND INTL (OR),B-727,None,4/28/1990,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127
